PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
0;9;9;3;0;0;-1;0;0;0;0;0;0;0;1;0;0;4;52;52;52;0;1215;0;0;92.9;0.0;3.0;17.8;41.5;10;28;26.3;-8.9;6;18;25.0;-14.2;0;8;3
2;294;294;4;1;0;-7;0;0;0;0;0;0;0;6;2;1;2;51;54;46;5;3266;68;506;86.8;1.1;8.8;18.7;46.3;38;69;35.5;-3.2;25;53;32.1;-5.0;0;48;27
7;287;287;6;1;4;2;5;0;2;0;0;1;0;8;3;1;7;72;56;81;10;6651;1347;239;109.6;3.8;2.7;21.1;32.5;64;109;37.0;1.4;45;90;33.3;0.6;0;0;0
8;223;9;3;0;0;-2;0;0;0;0;0;0;0;1;0;0;0;49;53;46;0;707;0;119;80.0;0.0;10.2;15.3;50.9;7;17;29.2;-9.4;4;13;23.5;-13.3;0;0;0
10;23;23;6;3;6;1;6;0;0;0;1;0;0;5;4;0;1;63;67;53;22;6351;686;363;99.2;3.4;2.8;38.5;29.5;112;97;53.6;9.3;89;73;54.9;10.4;0;0;0
15;3;3;9;5;3;9;0;0;1;0;0;0;0;9;1;4;4;67;69;64;46;11387;1807;456;102.0;4.1;1.3;47.4;19.0;278;92;75.1;4.4;213;76;73.7;3.9;1;0;0
16;295;295;8;2;3;4;2;0;2;0;0;0;0;6;4;3;3;58;55;60;13;7907;1453;545;105.0;4.6;2.7;30.0;26.9;122;106;53.5;-2.1;94;73;56.3;1.2;0;0;0
19;8;8;6;0;0;0;0;0;0;0;0;0;0;3;0;1;1;54;54;52;8;2928;0;291;101.6;3.7;3.7;34.4;40.6;41;56;42.3;6.0;32;43;42.7;6.1;0;41;20
22;15;15;10;8;6;-2;4;2;3;0;0;0;0;1;5;6;5;83;83;73;41;10493;2077;149;95.4;3.8;4.5;34.7;28.8;204;142;59.0;5.4;145;104;58.2;4.5;0;212;119
23;282;282;10;0;1;-2;4;0;0;0;0;0;0;5;2;0;2;55;55;52;17;5673;0;475;93.4;1.9;3.2;36.2;26.7;87;82;51.5;-2.2;71;62;53.4;0.3;0;66;28
24;22;22;4;1;1;-1;2;0;1;0;0;0;0;2;1;6;6;75;70;75;8;4219;522;751;99.7;2.6;3.4;19.6;25.6;55;53;50.9;10.4;35;44;44.3;2.0;0;68;34
26;3;3;9;2;5;5;2;0;0;0;0;0;0;3;7;5;7;63;65;57;22;9435;492;0;100.7;5.0;3.1;40.8;26.7;211;112;65.3;-10.9;160;89;64.3;-11.0;0;0;0
29;300;300;5;2;1;4;0;0;0;0;0;0;0;3;0;0;1;54;56;51;5;1938;0;0;128.6;7.4;0.0;26.0;29.7;26;31;45.6;9.7;17;21;44.7;10.9;0;23;8
36;283;283;10;1;9;1;6;0;2;0;0;0;0;9;2;5;5;68;72;59;25;8977;1273;29;96.2;2.8;2.4;33.3;19.7;168;79;68.0;11.8;130;61;68.1;10.2;0;6;3
38;23;23;6;1;0;-4;0;0;0;0;0;0;0;5;0;3;4;62;61;61;13;4963;712;112;92.4;0.7;3.6;25.4;34.8;64;83;43.5;-4.9;54;66;45.0;-3.9;0;5;2
39;9;9;5;0;0;-3;0;0;0;0;0;0;0;3;4;0;6;60;54;61;6;3957;79;191;92.9;0.0;2.7;15.5;38.2;30;89;25.2;-11.8;25;61;29.1;-8.1;0;48;27
41;299;299;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;49;52;40;3;1077;0;0;89.1;10.0;6.7;56.8;23.4;29;16;64.4;28.9;23;10;69.7;36.4;0;0;0
42;22;22;4;1;1;0;0;0;0;0;0;0;0;4;1;1;2;57;59;53;6;3408;0;217;94.8;3.2;3.2;34.9;22.2;52;45;53.6;13.7;44;35;55.7;18.6;0;3;0
44;15;15;10;3;5;2;0;0;2;0;0;0;0;6;8;5;4;66;66;59;22;9324;1924;378;98.5;2.3;1.9;34.0;23.2;166;109;60.4;6.8;130;79;62.2;9.8;0;19;9
46;23;23;6;0;1;-3;0;0;0;0;0;0;0;7;1;0;5;58;56;53;6;5688;0;0;100.3;2.5;4.4;18.4;32.9;57;93;38.0;-12.2;42;68;38.2;-12.6;0;73;37
47;17;17;9;3;1;4;0;0;0;1;0;0;0;6;5;4;12;65;51;67;22;7726;0;1329;100.8;2.8;1.4;39.6;22.4;156;91;63.2;2.5;112;69;61.9;1.8;1;0;0
48;296;296;7;4;4;-1;0;0;0;0;0;0;0;16;1;3;12;61;66;51;12;7155;422;278;103.1;5.5;6.0;29.7;38.7;102;151;40.3;-7.4;75;115;39.5;-8.8;0;3;2
50;285;285;2;0;0;-2;0;0;0;0;0;0;0;2;0;0;4;49;53;47;0;1297;0;130;86.7;0.0;5.6;13.9;41.6;17;28;37.8;-3.0;11;19;36.7;-4.7;0;3;0
52;301;301;8;4;7;12;2;0;0;0;0;0;0;5;3;7;2;58;65;56;13;7630;198;653;108.5;8.0;2.4;38.2;18.9;143;72;66.5;3.7;107;52;67.3;3.7;0;26;14
53;15;15;10;2;6;-1;5;0;1;1;0;1;0;16;6;6;2;61;66;53;19;10582;347;374;95.5;3.7;4.4;35.4;29.3;205;143;58.9;5.3;147;106;58.1;4.3;1;1;0
55;216;10;10;2;4;1;6;0;0;0;0;0;0;11;3;1;24;58;52;59;15;9533;153;1072;98.3;4.5;4.2;28.3;23.4;158;132;54.5;0.2;118;95;55.4;1.5;0;0;0
60;233;17;3;0;0;3;0;0;0;0;0;0;0;6;1;1;12;77;49;81;4;3201;0;500;113.0;3.4;0.0;25.9;27.0;40;56;41.7;-4.6;31;34;47.7;4.2;0;0;0
61;279;279;4;0;0;-1;16;0;0;0;0;0;0;4;1;1;2;59;61;54;10;3286;609;0;93.6;1.1;2.2;35.1;23.0;54;53;50.5;5.4;43;38;53.1;7.2;0;0;0
67;302;302;10;5;7;0;4;3;2;0;0;0;0;3;3;3;6;62;63;57;19;10228;1395;0;101.8;3.2;3.2;25.0;29.2;135;155;46.6;7.8;102;117;46.6;6.5;1;34;20
69;289;289;5;1;0;3;5;0;0;0;0;1;0;6;0;3;0;50;49;50;7;5155;28;427;106.2;6.3;4.2;28.6;26.5;67;70;48.9;-2.9;50;48;51.0;-3.8;0;0;0
70;233;17;3;0;1;-2;0;0;0;0;0;0;0;2;0;2;2;54;49;54;2;3068;0;181;101.0;3.5;5.9;19.9;35.2;48;54;47.1;3.5;28;43;39.4;-8.0;0;0;0
79;15;15;10;0;0;-5;5;0;0;0;0;1;0;8;5;3;21;55;48;56;8;9860;0;132;94.8;1.1;2.9;20.4;27.7;116;150;43.6;-16.5;90;111;44.8;-14.8;0;0;0
93;233;17;3;0;1;1;14;0;1;0;0;0;0;2;1;0;3;55;55;53;1;1292;272;77;110.0;2.8;0.0;27.9;5.6;26;13;66.7;25.2;18;8;69.2;27.9;0;1;0
94;14;14;8;4;0;3;0;0;0;0;0;0;0;5;4;2;2;60;62;54;14;6456;307;19;104.0;2.8;1.1;30.1;21.2;107;83;56.3;-0.5;79;59;57.2;1.0;1;0;0
95;214;24;7;3;4;8;0;0;1;0;0;0;0;8;3;4;8;67;64;66;10;8002;577;904;113.8;4.0;0.9;24.3;31.0;110;122;47.4;8.1;79;95;45.4;4.1;0;41;19
96;3;3;9;5;6;5;9;0;1;0;0;1;0;20;6;2;1;68;71;50;35;9495;530;14;99.0;4.9;3.0;42.1;23.9;219;100;68.7;-5.8;167;80;67.6;-5.8;2;11;7
98;236;236;9;0;3;5;2;0;0;0;0;0;0;12;4;4;4;57;59;52;16;7666;288;384;102.9;4.2;1.9;38.0;23.0;149;87;63.1;3.0;114;66;63.3;3.3;0;8;4
102;299;299;11;2;6;4;2;0;1;0;0;0;0;5;4;3;2;64;64;58;21;9182;1735;0;101.3;3.5;2.0;36.5;23.5;180;113;61.4;10.3;134;86;60.9;9.5;1;176;110
